numeroApolice,total_veiculos,pct_autonomos,motorista_licenciado,classe_risco,sinistralidade_rc_declarada,sinistralidade_rcfv_declarada,valor_pago_historico,valor_sinistro_historico,qt_cias_anteriores,tipo_sinistro_predominante,lmi_por_veiculo,premio_por_veiculo,qt_coberturas_ativas,agravo_aplicado,desconto_aplicado,referral_pendente,tempo_cotacao_emissao,parcelas_com_juros,apolice_anterior,_perfil_gerador
RCT-2025-000024,105.0,0.7047619047619048,0,5,1,1,946749.18,1040595.6699999999,2,1,36983.15638095238,3172.250380952381,2,0,0,0,9,1,1,alto_risco
RCT-2025-000025,15.0,0.4666666666666667,1,3,1,0,0.0,0.0,0,0,41673.314666666665,2022.4706666666668,3,0,0,1,67,1,0,referral
RCT-2026-000026,37.0,0.24324324324324326,1,4,0,0,0.0,0.0,0,0,21379.729189189187,2826.163243243243,3,0,0,1,84,1,0,referral
RCT-2025-000027,29.0,0.1724137931034483,1,1,0,0,0.0,0.0,0,0,54160.403103448276,1400.101379310345,8,0,1,0,4,0,1,alta_cobertura
RCT-2026-000028,97.0,0.8350515463917526,0,5,0,1,1079826.51,1210777.94,2,1,33687.02164948454,2596.7982474226806,2,1,0,0,8,0,1,alto_risco
RCT-2025-000029,55.0,0.12727272727272726,1,3,0,0,0.0,0.0,0,0,62461.97236363636,1811.4003636363636,7,0,1,0,6,0,0,alta_cobertura
RCT-2025-000030,28.0,0.21428571428571427,1,1,1,0,0.0,0.0,0,0,43794.07214285714,978.715,6,0,0,0,10,0,1,alta_cobertura
RCT-2026-000031,6.0,0.3333333333333333,1,2,1,1,0.0,0.0,0,0,45993.43666666667,1397.8666666666668,1,1,0,1,41,0,0,referral
RCT-2025-000032,33.0,0.2727272727272727,1,3,0,1,0.0,0.0,0,0,29663.354545454546,2818.680303030303,4,1,0,1,72,1,0,referral
RCT-2026-000033,114.0,0.45614035087719296,0,4,1,1,1168384.06,1285117.08,2,1,33469.9,2060.7239473684212,3,0,0,0,4,0,1,alto_risco
RCT-2025-000034,17.0,0.4117647058823529,1,4,0,1,0.0,0.0,0,0,24297.544705882352,1526.53,3,0,0,1,29,1,0,referral
RCT-2024-000035,51.0,0.09803921568627451,0,2,0,0,0.0,0.0,0,0,41025.92176470588,1300.945294117647,8,0,0,0,1,0,1,alta_cobertura
RCT-2025-000036,40.0,0.4,0,5,1,1,620870.53,784596.8200000001,2,1,39154.992249999996,2893.58725,3,1,0,0,7,1,0,alto_risco
RCT-2025-000037,54.0,0.1111111111111111,1,1,0,0,0.0,0.0,0,0,45806.944814814815,2162.265,6,0,1,0,4,0,1,alta_cobertura
RCT-2026-000038,7.0,0.0,1,2,0,0,0.0,0.0,0,0,65381.08571428571,950.8842857142856,6,0,0,0,2,0,1,alta_cobertura
RCT-2025-000039,6.0,0.3333333333333333,0,3,0,0,0.0,0.0,0,0,31300.38,1757.2466666666667,3,0,0,1,27,0,0,referral
RCT-2025-000040,35.0,0.2571428571428571,1,2,1,1,0.0,0.0,0,0,37917.393142857145,2312.4565714285714,1,1,0,1,58,1,0,referral
RCT-2025-000041,53.0,0.22641509433962265,1,3,0,0,0.0,0.0,0,0,72294.6137735849,1033.366603773585,6,0,0,1,5,0,1,alta_cobertura
RCT-2024-000042,19.0,0.2631578947368421,0,1,0,0,0.0,0.0,0,0,65276.80894736843,1080.4305263157894,7,0,1,0,7,0,1,alta_cobertura
RCT-2024-000043,12.0,0.25,1,1,0,1,0.0,0.0,0,0,77670.18416666666,1368.7849999999999,8,0,1,0,4,0,1,alta_cobertura
RCT-2025-000044,52.0,0.0,1,3,0,0,0.0,0.0,0,0,76668.54903846154,954.4776923076922,8,0,1,0,2,0,1,alta_cobertura
RCT-2025-000045,24.0,0.20833333333333334,0,4,0,0,0.0,0.0,0,0,23077.937083333334,1728.7795833333332,6,0,0,1,71,1,0,referral
RCT-2024-000046,32.0,0.09375,0,1,0,0,0.0,0.0,0,0,48600.6690625,2133.470625,8,0,0,0,7,0,0,alta_cobertura
RCT-2026-000047,119.0,0.4957983193277311,0,5,0,1,822330.1499999999,1143241.46,2,1,23685.632352941175,2662.8869747899157,2,1,0,0,2,0,0,alto_risco
RCT-2025-000048,38.0,0.15789473684210525,0,4,1,1,19310.11,19724.45,1,0,43033.44921052632,2258.0147368421053,5,1,0,1,65,0,0,referral
RCT-2025-000049,8.0,0.25,0,4,0,0,0.0,0.0,0,0,22436.68625,2754.80625,3,0,0,1,31,0,0,referral
RCT-2025-000050,46.0,0.2826086956521739,1,2,0,0,0.0,0.0,0,0,53323.62826086956,1314.850652173913,6,0,1,0,8,0,1,alta_cobertura
RCT-2025-000051,13.0,0.46153846153846156,0,3,0,0,0.0,0.0,0,0,39627.800769230766,2788.210769230769,5,0,0,1,35,1,0,referral
RCT-2025-000052,96.0,0.5,0,5,1,1,1311271.28,1410171.53,3,3,27983.317708333332,3970.7078125000003,3,1,0,0,9,1,1,alto_risco
RCT-2025-000053,4.0,0.25,1,2,1,1,0.0,0.0,0,0,47615.6275,2594.95,6,0,0,1,89,0,0,referral
RCT-2025-000054,16.0,0.125,1,3,1,0,0.0,0.0,0,0,74788.023125,1606.148125,7,0,1,0,5,0,1,alta_cobertura
RCT-2025-000055,19.0,0.42105263157894735,1,2,1,0,0.0,0.0,0,0,36510.57684210526,1209.326842105263,3,0,0,1,86,1,0,referral
RCT-2024-000056,123.0,0.44715447154471544,0,5,1,1,804403.03,967960.62,2,1,36276.49349593496,4334.113333333333,3,1,0,0,3,1,1,alto_risco
RCT-2025-000057,20.0,0.0,1,1,0,0,0.0,0.0,0,0,48377.195,2122.8265,6,0,1,0,6,0,1,alta_cobertura
RCT-2026-000058,37.0,0.43243243243243246,0,4,0,1,0.0,0.0,0,0,37494.43027027027,1569.7227027027027,4,1,0,1,25,0,0,referral
RCT-2026-000059,28.0,0.21428571428571427,1,4,0,0,0.0,0.0,0,0,32610.858214285716,2362.585357142857,3,0,0,1,24,1,0,referral
RCT-2025-000060,10.0,0.2,0,4,1,1,0.0,0.0,0,0,32577.218,2657.061,4,0,0,1,43,0,0,referral
RCT-2026-000061,18.0,0.3888888888888889,1,2,0,1,0.0,0.0,0,0,36701.543333333335,1695.2772222222222,2,0,0,1,42,0,0,referral
RCT-2025-000062,36.0,0.2222222222222222,1,2,0,0,0.0,0.0,0,0,29907.889722222222,1658.9922222222222,6,1,0,1,63,1,0,referral
RCT-2025-000063,122.0,0.6967213114754098,0,4,1,1,581738.8,636687.05,2,1,22710.557131147543,3551.5476229508195,3,1,0,0,4,1,0,alto_risco
RCT-2026-000064,67.0,0.5223880597014925,0,5,1,1,369392.97,454939.74,1,3,35976.7123880597,3214.649850746269,2,1,0,0,9,1,0,alto_risco
RCT-2026-000065,5.0,0.2,1,1,1,0,0.0,0.0,0,0,52949.888,2147.088,7,0,1,0,5,0,0,alta_cobertura
RCT-2026-000066,76.0,0.5921052631578947,0,4,0,0,624214.94,834105.1000000001,2,1,31452.73105263158,3266.182894736842,3,1,0,0,1,1,0,alto_risco
RCT-2026-000067,54.0,0.8148148148148148,0,5,0,1,164168.41,196690.59,1,1,34597.25703703704,2826.0,5,1,0,0,7,1,1,alto_risco
RCT-2025-000068,70.0,0.6714285714285714,0,4,1,1,1314698.47,1363871.56,3,2,38605.55742857143,2775.0372857142856,7,0,0,0,1,1,0,alto_risco
RCT-2026-000069,75.0,0.88,0,4,1,1,929960.83,1092577.4,3,1,32320.881999999998,2586.594266666667,0,0,0,0,4,0,0,alto_risco
RCT-2026-000070,25.0,0.16,0,2,0,0,0.0,0.0,0,0,24522.347999999998,2442.7872,4,0,0,1,66,1,0,referral
RCT-2025-000071,18.0,0.16666666666666666,1,3,0,0,0.0,0.0,0,0,39319.34611111111,1718.6883333333333,7,0,1,0,8,0,1,alta_cobertura
RCT-2026-000072,60.0,0.7833333333333333,0,5,1,1,469753.87,567894.4299999999,2,2,17118.799166666668,3459.1081666666664,2,1,0,0,2,1,1,alto_risco
RCT-2025-000073,60.0,0.1,1,3,0,0,0.0,0.0,0,0,55540.299,1543.9073333333333,8,0,1,0,7,0,1,alta_cobertura
RCT-2026-000074,18.0,0.2777777777777778,1,1,0,0,0.0,0.0,0,0,70272.02444444444,1957.5888888888887,7,0,1,0,4,0,1,alta_cobertura
RCT-2025-000075,35.0,0.4857142857142857,0,4,1,0,0.0,0.0,0,0,33559.75171428572,1945.6051428571427,3,0,0,1,67,0,0,referral
RCT-2025-000076,5.0,0.2,1,2,0,0,0.0,0.0,0,0,52979.088,1919.056,8,0,1,0,6,0,1,alta_cobertura
RCT-2024-000077,108.0,0.5555555555555556,0,4,1,1,465833.42,637492.1,1,2,27986.10638888889,3402.93462962963,4,1,0,0,6,1,0,alto_risco
RCT-2026-000078,124.0,0.8064516129032258,0,4,0,1,1014858.9700000001,1253780.02,3,3,34776.91653225807,2959.3495967741933,3,1,0,0,3,1,1,alto_risco
RCT-2025-000079,3.0,0.3333333333333333,0,3,1,0,0.0,0.0,0,0,32462.960000000003,2101.8866666666668,5,0,0,1,87,1,0,referral
RCT-2026-000080,30.0,0.16666666666666666,1,1,0,0,0.0,0.0,0,0,30567.530000000002,1078.3753333333332,7,0,1,0,2,0,0,alta_cobertura
RCT-2025-000081,10.0,0.4,1,3,1,0,0.0,0.0,0,0,42223.399,1407.6,3,1,0,1,49,1,0,referral
RCT-2025-000082,29.0,0.20689655172413793,1,4,0,0,17438.71,18161.97,1,0,36592.74172413793,1789.141724137931,4,1,0,1,49,1,0,referral
RCT-2026-000083,144.0,0.6041666666666666,0,4,1,1,393277.45,397544.9,1,2,37389.448472222226,2915.253402777778,4,1,0,0,1,0,0,alto_risco
RCT-2026-000084,28.0,0.39285714285714285,0,4,0,1,0.0,0.0,0,0,23597.406785714287,1677.0142857142857,6,1,0,1,49,0,0,referral
RCT-2025-000085,28.0,0.32142857142857145,0,2,1,0,12001.98,12782.89,1,0,48127.246785714284,2435.3135714285713,6,1,0,1,18,0,0,referral
RCT-2025-000086,145.0,0.6275862068965518,1,4,0,1,791874.38,847309.85,1,3,17193.03875862069,3093.383517241379,2,1,0,0,7,0,0,alto_risco
RCT-2025-000087,25.0,0.48,0,2,0,1,34830.36,51951.49,1,0,44488.554800000005,1679.7488,2,0,0,1,38,1,0,referral
RCT-2026-000088,52.0,0.21153846153846154,0,2,0,0,0.0,0.0,0,0,75939.03942307692,1832.018846153846,7,0,0,0,6,0,1,alta_cobertura
RCT-2025-000089,26.0,0.5,1,2,1,1,0.0,0.0,0,0,30704.76653846154,2304.6761538461537,3,0,0,1,90,0,0,referral
RCT-2025-000090,28.0,0.42857142857142855,0,3,1,0,0.0,0.0,0,0,30072.48392857143,2512.7146428571427,4,1,0,1,55,1,0,referral
RCT-2025-000091,34.0,0.4411764705882353,1,2,0,0,0.0,0.0,0,0,30138.517647058823,2960.4747058823527,6,0,0,1,76,0,0,referral
RCT-2026-000092,51.0,0.8823529411764706,0,4,1,1,281514.22,345656.46,1,1,17048.402352941175,2587.890980392157,4,0,0,0,5,1,1,alto_risco
RCT-2024-000093,84.0,0.5357142857142857,0,4,1,1,611058.94,814582.94,1,1,32857.6425,4237.498452380953,1,1,0,0,3,0,1,alto_risco
RCT-2026-000094,35.0,0.8857142857142857,0,5,0,1,1447041.9,1568841.14,3,2,18741.058,2103.8008571428572,1,1,0,1,5,0,0,alto_risco
RCT-2025-000095,24.0,0.375,1,3,0,1,0.0,0.0,0,0,38149.37416666667,2511.83875,3,1,0,1,62,0,0,referral
RCT-2026-000096,115.0,0.6521739130434783,1,4,1,1,225150.5,275929.97,1,1,27219.66843478261,2453.2328695652177,2,1,0,0,1,1,0,alto_risco
RCT-2024-000097,48.0,0.0625,1,3,0,0,0.0,0.0,0,0,55575.68583333333,1033.0058333333334,8,0,1,1,1,0,1,alta_cobertura
RCT-2026-000098,60.0,0.7166666666666667,0,5,1,1,699704.03,726626.69,1,1,19747.879,3344.5144999999998,2,0,0,0,5,1,0,alto_risco
RCT-2025-000099,52.0,0.07692307692307693,1,2,0,0,27248.18,27321.13,1,3,64034.88826923077,1055.7607692307693,8,0,1,0,6,0,1,alta_cobertura
RCT-2025-000100,14.0,0.42857142857142855,1,2,0,0,0.0,0.0,0,0,25982.427857142855,1267.9057142857143,4,0,0,1,22,1,0,referral
RCT-2025-000101,22.0,0.13636363636363635,1,3,0,0,0.0,0.0,0,0,20573.741818181818,2661.615,4,1,0,1,36,1,0,referral
RCT-2026-000102,93.0,0.7096774193548387,0,5,0,1,1155281.72,1425005.7200000002,3,1,25470.64376344086,3691.961182795699,3,0,0,0,2,0,1,alto_risco
RCT-2025-000103,10.0,0.4,0,4,0,1,40787.57,57664.64,1,0,32779.856,2418.18,4,1,0,1,80,0,0,referral
RCT-2025-000104,26.0,0.038461538461538464,1,1,0,0,0.0,0.0,0,0,71926.82384615384,1789.8034615384615,8,0,0,0,7,0,1,alta_cobertura
RCT-2026-000105,65.0,0.4,0,4,1,1,156086.44,194140.27000000002,2,1,31084.967846153846,1947.3284615384616,2,1,0,1,10,0,0,alto_risco
RCT-2026-000106,31.0,0.22580645161290322,0,4,0,0,0.0,0.0,0,0,44759.32967741935,1813.537419354839,1,0,0,1,17,0,0,referral
RCT-2026-000107,122.0,0.7295081967213115,1,4,1,0,579684.25,826583.75,1,3,38165.663278688524,2919.069918032787,2,0,0,0,5,0,1,alto_risco
RCT-2026-000108,37.0,0.24324324324324326,0,3,0,0,0.0,0.0,0,0,65074.71540540541,1288.587027027027,6,0,0,0,3,0,1,alta_cobertura
RCT-2025-000109,69.0,0.855072463768116,1,5,1,1,587950.86,697444.5700000001,2,3,39588.30985507246,3920.9369565217394,5,0,0,0,9,1,0,alto_risco
RCT-2026-000110,27.0,0.25925925925925924,0,4,0,0,0.0,0.0,0,0,28825.33148148148,2935.721851851852,0,1,0,1,21,1,0,referral
RCT-2024-000111,3.0,0.3333333333333333,0,3,0,0,0.0,0.0,0,0,30482.09,1926.1499999999999,2,0,0,1,34,1,0,referral
RCT-2026-000112,110.0,0.5727272727272728,0,4,1,1,1508156.69,1754358.58,3,1,31288.20490909091,2600.371727272727,2,1,0,1,10,1,0,alto_risco
RCT-2025-000113,47.0,0.7872340425531915,0,4,1,1,277262.76,333037.89,2,3,17653.3885106383,4305.728936170213,1,0,0,0,5,1,0,alto_risco
RCT-2025-000114,12.0,0.16666666666666666,1,2,1,0,0.0,0.0,0,0,21631.649166666666,2221.1266666666666,4,0,0,1,83,0,0,referral
RCT-2025-000115,34.0,0.47058823529411764,1,3,0,0,0.0,0.0,0,0,26645.77117647059,1643.115294117647,5,0,0,1,51,1,0,referral
RCT-2025-000116,11.0,0.09090909090909091,1,1,0,0,0.0,0.0,0,0,37431.64909090909,1750.080909090909,7,0,1,0,9,0,0,alta_cobertura
RCT-2026-000117,5.0,0.2,1,1,0,0,0.0,0.0,0,0,74077.6,2093.272,8,0,1,0,3,0,1,alta_cobertura
RCT-2026-000118,41.0,0.04878048780487805,1,2,0,0,0.0,0.0,0,0,39345.28390243902,1174.9721951219512,8,0,1,0,2,0,0,alta_cobertura
RCT-2024-000119,18.0,0.16666666666666666,1,3,0,0,0.0,0.0,0,0,44172.73111111111,1760.2683333333334,7,0,1,0,4,0,1,alta_cobertura
RCT-2026-000120,14.0,0.35714285714285715,0,2,0,0,41517.36,48293.26,1,0,38442.445,2056.5642857142857,6,1,0,1,58,1,0,referral
RCT-2026-000121,60.0,0.016666666666666666,1,2,0,0,0.0,0.0,0,0,30355.704,1866.7393333333334,7,0,1,0,7,0,0,alta_cobertura
RCT-2026-000122,42.0,0.07142857142857142,0,1,0,0,0.0,0.0,0,0,41488.56523809524,1054.8114285714287,6,0,0,1,6,0,1,alta_cobertura
RCT-2024-000123,48.0,0.20833333333333334,1,1,0,0,0.0,0.0,0,0,54718.41895833333,1127.8525,6,0,1,1,3,0,1,alta_cobertura
RCT-2025-000124,13.0,0.38461538461538464,1,3,0,1,0.0,0.0,0,0,28295.235384615386,2933.9176923076925,4,0,0,1,26,1,0,referral
RCT-2026-000125,12.0,0.25,0,3,0,0,0.0,0.0,0,0,50621.29833333333,1940.21,6,0,1,1,5,0,1,alta_cobertura
RCT-2025-000126,40.0,0.275,1,3,0,0,0.0,0.0,0,0,33924.378749999996,1055.842,8,0,0,0,10,0,0,alta_cobertura
RCT-2025-000127,25.0,0.16,0,1,0,0,0.0,0.0,0,0,64912.2284,2169.4592000000002,8,0,1,1,8,0,0,alta_cobertura
RCT-2025-000128,95.0,0.5263157894736842,0,5,0,1,1288452.5,1589799.46,3,3,35000.93642105263,2329.3706315789473,0,0,0,0,6,1,1,alto_risco
RCT-2025-000129,28.0,0.10714285714285714,1,1,0,0,0.0,0.0,0,0,38378.77678571428,1088.3028571428572,7,0,0,0,6,0,1,alta_cobertura
RCT-2025-000130,54.0,0.5555555555555556,0,5,0,1,859290.4299999999,1140910.44,3,1,17388.842962962965,2872.0231481481483,5,0,0,0,10,1,0,alto_risco
RCT-2025-000131,60.0,0.16666666666666666,1,2,0,0,0.0,0.0,0,0,36815.022666666664,1885.7815,8,0,1,0,9,0,1,alta_cobertura
RCT-2026-000132,17.0,0.4117647058823529,0,4,1,0,0.0,0.0,0,0,39453.711176470584,1689.3570588235293,2,0,0,1,86,1,0,referral
RCT-2025-000133,17.0,0.11764705882352941,1,1,0,0,0.0,0.0,0,0,67528.47882352941,1004.29,8,0,1,0,2,0,0,alta_cobertura
RCT-2025-000134,5.0,0.0,1,3,0,0,0.0,0.0,0,0,61926.0,1229.306,7,0,1,0,8,0,1,alta_cobertura
RCT-2024-000135,60.0,0.7,0,4,1,1,805227.27,1031916.11,2,3,39541.89283333333,2428.2215,2,0,0,0,1,0,1,alto_risco
RCT-2026-000136,69.0,0.5652173913043478,0,5,1,1,249567.91999999998,323874.13,2,1,39179.07898550725,1971.0227536231885,1,0,0,0,9,1,1,alto_risco
RCT-2026-000137,98.0,0.7244897959183674,0,4,0,1,180612.02,201337.06,1,3,16016.328775510205,2517.702244897959,1,1,0,0,10,0,1,alto_risco
RCT-2026-000138,29.0,0.41379310344827586,0,4,0,1,0.0,0.0,0,0,32370.298620689657,2720.7372413793105,0,0,0,1,73,0,0,referral
RCT-2024-000139,148.0,0.6283783783783784,0,5,1,1,1556118.44,1795758.1400000001,3,1,17357.178175675675,3343.3519594594595,2,1,0,0,5,1,0,alto_risco
RCT-2025-000140,24.0,0.25,0,2,1,0,0.0,0.0,0,0,42585.206249999996,2947.8725,3,0,0,1,44,1,0,referral
RCT-2025-000141,10.0,0.1,1,1,0,0,0.0,0.0,0,0,59693.856999999996,1316.96,7,0,1,0,8,0,1,alta_cobertura
RCT-2024-000142,129.0,0.5193798449612403,0,4,1,1,71030.35,93435.32,1,1,27075.658294573645,2498.3765891472867,4,0,0,0,2,1,0,alto_risco
RCT-2026-000143,5.0,0.0,1,1,0,1,0.0,0.0,0,0,65623.45999999999,1628.894,6,0,1,0,6,0,0,alta_cobertura
RCT-2025-000144,24.0,0.08333333333333333,0,1,0,0,0.0,0.0,0,0,58644.9275,1442.5333333333335,7,0,1,0,1,0,0,alta_cobertura
RCT-2025-000145,15.0,0.4666666666666667,1,3,1,0,0.0,0.0,0,0,32337.552666666666,1945.2720000000002,2,0,0,1,70,0,0,referral
RCT-2025-000146,103.0,0.7087378640776699,0,5,1,1,1352088.9,1523347.7000000002,3,2,20563.855339805825,4365.5347572815535,3,0,0,0,10,1,1,alto_risco
RCT-2026-000147,83.0,0.8192771084337349,1,4,0,1,1065442.6099999999,1152203.98,2,2,26589.47385542169,4239.92421686747,3,0,0,1,9,1,1,alto_risco
RCT-2024-000148,46.0,0.2826086956521739,1,2,0,0,0.0,0.0,0,0,45403.1102173913,966.703695652174,6,0,1,0,2,0,1,alta_cobertura
RCT-2024-000149,3.0,0.3333333333333333,0,3,1,1,0.0,0.0,0,0,21651.916666666668,1532.7133333333334,4,0,0,1,78,1,0,referral
RCT-2026-000150,61.0,0.7049180327868853,0,5,1,1,1829700.73,2077716.1400000001,3,1,20246.13426229508,2917.146393442623,3,1,0,0,3,0,1,alto_risco
RCT-2025-000151,17.0,0.4117647058823529,0,4,0,1,0.0,0.0,0,0,35200.68882352941,1753.9905882352941,5,0,0,1,18,1,0,referral
RCT-2026-000152,33.0,0.45454545454545453,0,3,0,0,0.0,0.0,0,0,30607.866363636364,2798.45303030303,3,0,0,1,34,1,0,referral
RCT-2026-000153,125.0,0.776,0,5,1,0,1502213.62,1819311.64,3,2,27501.35768,3103.1906400000003,4,1,0,0,1,0,0,alto_risco
RCT-2024-000154,9.0,0.3333333333333333,0,2,0,1,0.0,0.0,0,0,23071.258888888886,2207.3266666666664,4,0,0,1,88,1,0,referral
RCT-2024-000155,8.0,0.0,1,2,0,0,20067.62,20423.55,1,3,53413.795,2095.59625,7,0,1,0,7,0,1,alta_cobertura
RCT-2026-000156,24.0,0.4166666666666667,0,3,1,0,0.0,0.0,0,0,22127.719583333335,2201.0695833333334,4,0,0,1,18,1,0,referral
RCT-2025-000157,40.0,0.275,0,4,1,0,45242.35,50111.65,1,0,37892.1625,2433.91575,6,0,0,1,84,1,0,referral
RCT-2025-000158,23.0,0.13043478260869565,1,3,1,0,0.0,0.0,0,0,30042.165652173917,2158.269565217391,5,0,1,0,6,0,0,alta_cobertura
RCT-2025-000159,50.0,0.12,1,3,0,0,0.0,0.0,0,0,50792.7734,1734.9157999999998,7,0,1,0,3,0,1,alta_cobertura
RCT-2026-000160,27.0,0.07407407407407407,1,3,0,0,0.0,0.0,0,0,33911.729999999996,1504.4174074074074,6,0,0,0,8,0,1,alta_cobertura
RCT-2026-000161,56.0,0.17857142857142858,1,2,0,0,0.0,0.0,0,0,53658.02660714286,979.8430357142857,6,0,1,0,1,0,0,alta_cobertura
RCT-2025-000162,59.0,0.23728813559322035,1,2,0,0,0.0,0.0,0,0,37707.514915254236,2114.124406779661,7,0,1,0,5,0,1,alta_cobertura
RCT-2024-000163,25.0,0.12,1,3,0,0,17966.55,25418.31,1,0,48852.8816,2421.288,5,0,0,1,36,1,0,referral
RCT-2026-000164,99.0,0.5959595959595959,0,4,1,1,101142.69,114751.56,1,1,17298.53202020202,1863.9913131313133,6,0,0,0,10,0,0,alto_risco
RCT-2026-000165,19.0,0.21052631578947367,0,3,0,1,0.0,0.0,0,0,49382.65947368421,1324.9173684210527,5,1,0,1,73,1,0,referral
RCT-2024-000166,34.0,0.4411764705882353,0,4,0,1,980532.1100000001,1236718.77,3,3,28503.21794117647,3920.5305882352945,0,1,0,0,8,0,1,alto_risco
RCT-2026-000167,9.0,0.3333333333333333,1,2,0,0,13096.21,15745.59,1,0,21681.633333333335,1266.6766666666667,4,0,0,1,71,1,0,referral
RCT-2025-000168,43.0,0.6511627906976745,1,4,1,1,233268.07,316844.03,1,1,18020.060930232557,2885.4232558139533,4,0,0,0,3,0,1,alto_risco
RCT-2025-000169,38.0,0.15789473684210525,1,2,0,0,0.0,0.0,0,0,24292.635789473687,1428.4063157894736,3,1,0,1,27,1,0,referral
RCT-2024-000170,5.0,0.2,1,2,0,1,0.0,0.0,0,0,62243.042,956.05,7,0,1,0,10,0,0,alta_cobertura
RCT-2025-000171,14.0,0.14285714285714285,1,3,1,1,0.0,0.0,0,0,22205.891428571427,2804.457142857143,6,0,0,1,24,1,0,referral
RCT-2024-000172,22.0,0.045454545454545456,1,2,0,0,0.0,0.0,0,0,79783.21681818181,1535.9772727272727,5,0,1,0,5,0,1,alta_cobertura
RCT-2024-000173,42.0,0.2857142857142857,0,2,0,1,0.0,0.0,0,0,34536.475238095234,1741.9321428571427,7,0,1,0,7,0,1,alta_cobertura
