numeroApolice,total_veiculos,pct_autonomos,motorista_licenciado,classe_risco,sinistralidade_rc_declarada,sinistralidade_rcfv_declarada,valor_pago_historico,valor_sinistro_historico,qt_cias_anteriores,tipo_sinistro_predominante,lmi_por_veiculo,premio_por_veiculo,qt_coberturas_ativas,agravo_aplicado,desconto_aplicado,referral_pendente,tempo_cotacao_emissao,parcelas_com_juros,apolice_anterior,_perfil_gerador,cluster
RCT-2025-000039,0.0205479452054794,0.3696369636963695,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2511788141074499,0.2352693572470979,0.375,0.0,0.0,1.0,0.2921348314606741,0.0,0.0,referral,2
RCT-2025-000040,0.2191780821917808,0.285148514851485,1.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.3533294422509738,0.3903156330645445,0.125,1.0,0.0,1.0,0.6404494382022472,1.0,0.0,referral,2
RCT-2025-000041,0.3424657534246575,0.2510741640201755,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8840303197379816,0.0331207519584334,0.75,0.0,0.0,1.0,0.0449438202247191,0.0,1.0,alta_cobertura,0
RCT-2024-000042,0.1095890410958904,0.2918186555497654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7756924404395994,0.0462636837630431,0.875,0.0,1.0,0.0,0.0674157303370786,0.0,1.0,alta_cobertura,0
RCT-2024-000043,0.0616438356164383,0.2772277227722772,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9670160839231088,0.1267887011962414,1.0,0.0,1.0,0.0,0.0337078651685393,0.0,1.0,alta_cobertura,0
RCT-2025-000044,0.3356164383561644,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9515532677993084,0.0110904678781733,1.0,0.0,1.0,0.0,0.0112359550561797,0.0,1.0,alta_cobertura,0
RCT-2025-000045,0.1438356164383561,0.231023102310231,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.1242442454919343,0.2273197237546784,0.75,0.0,0.0,1.0,0.7865168539325842,1.0,0.0,referral,2
RCT-2024-000046,0.1986301369863013,0.1039603960396039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5182533017418874,0.340332547065184,1.0,0.0,0.0,0.0,0.0674157303370786,0.0,0.0,alta_cobertura,0
RCT-2026-000047,0.7945205479452054,0.5497961560861968,0.0,1.0,0.0,1.0,0.3914844210766112,0.4829967666034753,0.6666666666666666,0.3333333333333333,0.1336255860106997,0.488175791012703,0.25,1.0,0.0,0.0,0.0112359550561797,0.0,0.0,alto_risco,1
RCT-2025-000048,0.2397260273972602,0.1750911933298592,0.0,0.75,1.0,1.0,0.0091929102128575,0.0083331876129054,0.3333333333333333,0.0,0.4323089349083266,0.3751123673646632,0.625,1.0,0.0,1.0,0.7191011235955056,0.0,0.0,referral,2
RCT-2025-000049,0.0342465753424657,0.2772277227722772,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.114344888484722,0.5138448959312729,0.375,0.0,0.0,1.0,0.3370786516853932,0.0,0.0,referral,2
RCT-2025-000050,0.2945205479452054,0.3133878605251829,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.591164332503626,0.1117271547480316,0.75,0.0,1.0,0.0,0.0786516853932584,0.0,1.0,alta_cobertura,0
RCT-2025-000051,0.0684931506849315,0.5118050266565117,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3797339860600099,0.5231733431685823,0.625,0.0,0.0,1.0,0.3820224719101123,1.0,0.0,referral,2
RCT-2025-000052,0.636986301369863,0.5544554455445544,0.0,1.0,1.0,1.0,0.6242532612055962,0.5957694093304451,1.0,1.0,0.1999714204738565,0.8533939699109314,0.375,1.0,0.0,0.0,0.0898876404494382,1.0,1.0,alto_risco,1
RCT-2025-000053,0.0068493150684931,0.2772277227722772,1.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.5030466500117982,0.469203912375204,0.75,0.0,0.0,1.0,0.9887640449438202,0.0,0.0,referral,2
RCT-2025-000054,0.0890410958904109,0.1386138613861386,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.9225225103936604,0.1930740254168589,0.875,0.0,1.0,0.0,0.0449438202247191,0.0,1.0,alta_cobertura,0
RCT-2025-000055,0.1095890410958904,0.4669098488796247,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.3316116119094275,0.0822588876640212,0.375,0.0,0.0,1.0,0.9550561797752808,1.0,0.0,referral,2
RCT-2024-000056,0.821917808219178,0.4958544634951299,0.0,1.0,1.0,1.0,0.3829499070559701,0.4089440997525538,0.6666666666666666,0.3333333333333333,0.3279979329982642,0.9548775207868304,0.375,1.0,0.0,0.0,0.0224719101123595,1.0,1.0,alto_risco,1
RCT-2025-000057,0.1164383561643835,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5148034044294117,0.3373601002006183,0.75,0.0,1.0,0.0,0.0561797752808988,0.0,1.0,alta_cobertura,0
RCT-2026-000058,0.2328767123287671,0.4795290339844795,0.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.3467999217281413,0.1829019697243445,0.5,1.0,0.0,1.0,0.2696629213483146,0.0,0.0,referral,2
RCT-2026-000059,0.1712328767123287,0.2376237623762375,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.2714094181379397,0.4043144494934117,0.375,0.0,0.0,1.0,0.2584269662921348,1.0,0.0,referral,2
RCT-2025-000060,0.047945205479452,0.2217821782178217,0.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.2708900948502297,0.4865488465247977,0.5,0.0,0.0,1.0,0.4719101123595505,0.0,0.0,referral,2
RCT-2026-000061,0.1027397260273972,0.4312431243124312,1.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.3345596711942077,0.2179639534832591,0.25,0.0,0.0,1.0,0.4606741573033708,0.0,0.0,referral,2
RCT-2025-000062,0.2260273972602739,0.2464246424642464,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2296821428015605,0.2078311117061502,0.75,1.0,0.0,1.0,0.696629213483146,1.0,0.0,referral,2
RCT-2025-000063,0.815068493150685,0.7726018503489692,0.0,0.75,1.0,1.0,0.2769467680782501,0.2689876086966836,0.6666666666666666,0.3333333333333333,0.1185727903998998,0.7363405351592489,0.375,1.0,0.0,0.0,0.0337078651685393,1.0,0.0,alto_risco,1
RCT-2026-000064,0.4383561643835616,0.5792818087778926,0.0,1.0,1.0,1.0,0.1758558810110757,0.1922029869520527,0.3333333333333333,1.0,0.3233700400480928,0.6422594597614493,0.25,1.0,0.0,0.0,0.0898876404494382,1.0,0.0,alto_risco,1
RCT-2026-000065,0.0136986301369863,0.2217821782178217,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5853946896774572,0.3441352949305432,0.875,0.0,1.0,0.0,0.0449438202247191,0.0,0.0,alta_cobertura,0
RCT-2026-000066,0.5,0.6565919749869723,0.0,0.75,0.0,0.0,0.2971682655844148,0.3523928062471321,0.6666666666666666,0.3333333333333333,0.2535307447124907,0.6566504252030716,0.375,1.0,0.0,0.0,0.0,1.0,0.0,alto_risco,1
RCT-2026-000067,0.3493150684931506,0.9035570223689036,0.0,1.0,0.0,1.0,0.0781551970919681,0.083097860176738,0.3333333333333333,0.3333333333333333,0.3020745963848109,0.5337262519811292,0.625,1.0,0.0,0.0,0.0674157303370786,1.0,1.0,alto_risco,1
RCT-2025-000068,0.458904109589041,0.7445544554455444,0.0,0.75,1.0,1.0,0.6258848339906504,0.576208593364378,1.0,0.6666666666666666,0.3639530291373829,0.5194945551259784,0.875,0.0,0.0,0.0,0.0,1.0,0.0,alto_risco,1
RCT-2026-000069,0.4931506849315068,0.9758415841584156,0.0,0.75,1.0,1.0,0.4427238587281215,0.4615922094568122,1.0,0.3333333333333333,0.2669328889552914,0.4668705149989224,0.0,0.0,0.0,0.0,0.0337078651685393,0.0,0.0,alto_risco,1
RCT-2026-000070,0.1506849315068493,0.1774257425742574,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1465424454878245,0.4267113789106359,0.5,0.0,0.0,1.0,0.7303370786516854,1.0,0.0,referral,2
RCT-2025-000071,0.1027397260273972,0.1848184818481847,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3749721945385995,0.2245016711273325,0.875,0.0,1.0,0.0,0.0786516853932584,0.0,1.0,alta_cobertura,0
RCT-2026-000072,0.3904109589041096,0.8686468646864686,0.0,1.0,1.0,1.0,0.2236344147730053,0.2399240957042649,0.6666666666666666,0.6666666666666666,0.0322496146457654,0.7105261660125137,0.25,1.0,0.0,0.0,0.0112359550561797,1.0,1.0,alto_risco,1
RCT-2025-000073,0.3904109589041096,0.1108910891089108,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6253843504333126,0.1756928460303266,1.0,0.0,1.0,0.0,0.0674157303370786,0.0,1.0,alta_cobertura,0
RCT-2026-000074,0.1027397260273972,0.308030803080308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8528064478810676,0.2912163336575197,0.875,0.0,1.0,0.0,0.0337078651685393,0.0,1.0,alta_cobertura,0
RCT-2025-000075,0.2191780821917808,0.5386138613861385,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.2860580314886537,0.287869788185927,0.375,0.0,0.0,1.0,0.7415730337078651,0.0,0.0,referral,2
RCT-2025-000076,0.0136986301369863,0.2217821782178217,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5858454668298362,0.280455753078051,1.0,0.0,1.0,0.0,0.0561797752808988,0.0,1.0,alta_cobertura,0
RCT-2024-000077,0.7191780821917808,0.616061606160616,0.0,0.75,1.0,1.0,0.2217680170754263,0.2693277263013706,0.3333333333333333,0.6666666666666666,0.200014470935491,0.6948393102082735,0.5,1.0,0.0,0.0,0.0561797752808988,1.0,0.0,alto_risco,1
RCT-2026-000078,0.8287671232876712,0.8942829766847651,0.0,0.75,0.0,1.0,0.4831410794616445,0.5296971085111282,1.0,1.0,0.3048481030852755,0.570965065958094,0.375,1.0,0.0,0.0,0.0224719101123595,1.0,1.0,alto_risco,1
RCT-2025-000079,0.0,0.3696369636963695,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.2691262285530891,0.3315125042792817,0.625,0.0,0.0,1.0,0.9662921348314606,1.0,0.0,referral,2
RCT-2026-000080,0.184931506849315,0.1848184818481847,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2398653882128993,0.0456897566495623,0.875,0.0,1.0,0.0,0.0112359550561797,0.0,0.0,alta_cobertura,0
RCT-2025-000081,0.047945205479452,0.4435643564356435,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.4198037250732245,0.1376280632901777,0.375,1.0,0.0,1.0,0.5393258426966292,1.0,0.0,referral,2
RCT-2025-000082,0.1780821917808219,0.2294298395356776,1.0,0.75,0.0,0.0,0.0083019980340899,0.007673070905904,0.3333333333333333,0.0,0.3328800383323123,0.2441762766580973,0.5,1.0,0.0,1.0,0.5393258426966292,1.0,0.0,referral,2
RCT-2026-000083,0.9657534246575342,0.6699669966996699,0.0,0.75,1.0,1.0,0.1872264987921651,0.1679548091963896,0.3333333333333333,0.6666666666666666,0.3451792574823976,0.558650893249306,0.5,1.0,0.0,0.0,0.0,0.0,0.0,alto_risco,1
RCT-2026-000084,0.1712328767123287,0.4356435643564356,0.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.1322635973133864,0.2128638998517225,0.75,1.0,0.0,1.0,0.5393258426966292,0.0,0.0,referral,2
RCT-2025-000085,0.1712328767123287,0.3564356435643564,0.0,0.25,1.0,0.0,0.005713749145733,0.0054005166483796,0.3333333333333333,0.0,0.5109448104472917,0.4246243155010956,0.75,1.0,0.0,1.0,0.1910112359550561,0.0,0.0,referral,2
RCT-2025-000086,0.9726027397260274,0.695937179924889,1.0,0.75,0.0,1.0,0.3769854275921909,0.3579715503505932,0.3333333333333333,1.0,0.0333956938188752,0.6083949821454877,0.25,1.0,0.0,0.0,0.0674157303370786,0.0,0.0,alto_risco,1
RCT-2025-000087,0.1506849315068493,0.5322772277227722,0.0,0.25,0.0,1.0,0.0165815923452277,0.0219484707020971,0.3333333333333333,0.0,0.4547722347039968,0.2136275322230712,0.25,0.0,0.0,1.0,0.4157303370786517,1.0,0.0,referral,2
RCT-2026-000088,0.3356164383561644,0.2345773038842345,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.9402914093384828,0.2561500149313523,0.875,0.0,0.0,0.0,0.0561797752808988,0.0,1.0,alta_cobertura,0
RCT-2025-000089,0.1575342465753424,0.5544554455445544,1.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.241983987391325,0.3881428966632085,0.375,0.0,0.0,1.0,1.0,0.0,0.0,referral,2
RCT-2025-000090,0.1712328767123287,0.4752475247524751,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.2322230779945797,0.4462391097732305,0.5,1.0,0.0,1.0,0.6067415730337078,1.0,0.0,referral,2
RCT-2025-000091,0.2123287671232876,0.489225393127548,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2332424783911803,0.5712792605998183,0.75,0.0,0.0,1.0,0.8426966292134831,0.0,0.0,referral,2
RCT-2026-000092,0.3287671232876712,0.978450786255096,0.0,0.75,1.0,1.0,0.1340196895876112,0.1460329758646117,0.3333333333333333,0.3333333333333333,0.0311628586448159,0.4672326314385144,0.5,0.0,0.0,0.0,0.0449438202247191,1.0,1.0,alto_risco,1
RCT-2024-000093,0.5547945205479452,0.5940594059405939,0.0,0.75,1.0,1.0,0.2909051253557804,0.3441450821337014,0.3333333333333333,0.3333333333333333,0.27521916873952,0.9278971348972154,0.125,1.0,0.0,0.0,0.0224719101123595,0.0,1.0,alto_risco,1
RCT-2026-000094,0.2191780821917808,0.982178217821782,0.0,1.0,0.0,1.0,0.6888892016121501,0.6628041620660872,1.0,0.6666666666666666,0.057293354964653,0.3320470554499167,0.125,1.0,0.0,1.0,0.0449438202247191,0.0,0.0,alto_risco,1
RCT-2025-000095,0.1438356164383561,0.4158415841584157,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.3569106664057272,0.4459945105246394,0.375,1.0,0.0,1.0,0.6853932584269662,0.0,0.0,referral,2
RCT-2026-000096,0.7671232876712328,0.7232027550581145,1.0,0.75,1.0,1.0,0.1071867706025488,0.116574921380995,0.3333333333333333,0.3333333333333333,0.1881825285236027,0.429628405697471,0.25,1.0,0.0,0.0,0.0,1.0,0.0,alto_risco,1
RCT-2024-000097,0.3082191780821918,0.0693069306930693,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6259306372813163,0.0330200042723668,1.0,0.0,1.0,1.0,0.0,0.0,1.0,alta_cobertura,0
RCT-2026-000098,0.3904109589041096,0.7947194719471946,0.0,1.0,1.0,1.0,0.3331061461257645,0.3069853168181862,0.3333333333333333,0.3333333333333333,0.072836228366546,0.6785250776015426,0.25,0.0,0.0,0.0,0.0449438202247191,1.0,0.0,alto_risco,1
RCT-2025-000099,0.3356164383561644,0.0853008377760853,1.0,0.25,0.0,0.0,0.0129719650589137,0.0115426337406913,0.3333333333333333,1.0,0.7565201984268813,0.0393744803670884,1.0,0.0,1.0,0.0,0.0561797752808988,0.0,1.0,alta_cobertura,0
RCT-2025-000100,0.0753424657534246,0.4752475247524751,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1690825359072988,0.0986174502459696,0.5,0.0,0.0,1.0,0.2359550561797752,1.0,0.0,referral,2
RCT-2025-000101,0.1301369863013698,0.1512151215121512,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0855855464979026,0.4878205830950872,0.5,1.0,0.0,1.0,0.3932584269662921,1.0,0.0,referral,2
RCT-2026-000102,0.6164383561643836,0.7869690194825933,0.0,1.0,0.0,1.0,0.5499917464227619,0.6020365594084187,1.0,0.3333333333333333,0.1611818312363467,0.7755520105697153,0.375,0.0,0.0,0.0,0.0112359550561797,0.0,1.0,alto_risco,1
RCT-2025-000103,0.047945205479452,0.4435643564356435,0.0,0.75,0.0,1.0,0.0194176246955942,0.0243621628867041,0.3333333333333333,0.0,0.2740183339120021,0.4198396450212139,0.5,1.0,0.0,1.0,0.8876404494382022,0.0,0.0,referral,2
RCT-2025-000104,0.1575342465753424,0.0426504188880426,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8783525356228784,0.2443610714872987,1.0,0.0,0.0,0.0,0.0674157303370786,0.0,1.0,alta_cobertura,0
RCT-2026-000105,0.4246575342465754,0.4435643564356435,0.0,0.75,1.0,1.0,0.0743076361742412,0.0820204007275293,0.6666666666666666,0.3333333333333333,0.247853373104074,0.2883510370636821,0.25,1.0,0.0,1.0,0.1011235955056179,0.0,0.0,alto_risco,1
RCT-2026-000106,0.1917808219178082,0.2503992334717342,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.4589523418334091,0.2509889463473766,0.125,0.0,0.0,1.0,0.1797752808988764,0.0,0.0,referral,2
RCT-2026-000107,0.815068493150685,0.8089595844830384,1.0,0.75,1.0,0.0,0.2759686641897778,0.3492151855452962,0.3333333333333333,1.0,0.3571621307732612,0.5597166820110238,0.25,0.0,0.0,0.0,0.0449438202247191,0.0,1.0,alto_risco,1
RCT-2026-000108,0.2328767123287671,0.2697350816162697,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7725726064889057,0.1043928524714244,0.75,0.0,0.0,0.0,0.0224719101123595,0.0,1.0,alta_cobertura,0
RCT-2025-000109,0.452054794520548,0.9481991677428612,1.0,1.0,1.0,1.0,0.2799041261573539,0.2946564518357751,0.6666666666666666,1.0,0.3791243421617524,0.8394951078814705,0.625,0.0,0.0,0.0,0.0898876404494382,1.0,0.0,alto_risco,1
