fonte,trajeto,motorista,comportamento,tipo_via,duracao_min,n_amostras,n_eventos,eventos_por_min,magnitude_media_ms2,magnitude_maxima_ms2,velocidade_media_kmh,velocidade_maxima_kmh,var_curso_media_abs
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151120160904-16km-D2-NORMAL1-SECONDARY,D2,normal,Via secundaria,10.911333333333333,6508,0,0.0,0.22955706301712347,1.0900831470365964,91.9903125,103.4,2.1923328124999997
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151120162105-17km-D2-NORMAL2-SECONDARY,D2,normal,Via secundaria,11.542333333333335,6869,0,0.0,0.22986100478566668,1.6329765502668676,88.14477172312225,99.0,2.1679160530191464
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151120163350-16km-D2-AGGRESSIVE-SECONDARY,D2,agressiva,Via secundaria,10.363999999999999,6166,0,0.0,0.41070536848381767,2.445181544816831,96.06237623762377,119.9,2.313029702970297
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151120164606-16km-D2-DROWSY-SECONDARY,D2,sonolenta,Via secundaria,10.947666666666667,6509,0,0.0,0.3659731608748302,3.905017388419223,91.3864566929134,110.0,2.3402456692913387
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151126110502-26km-D3-NORMAL-MOTORWAY,D3,normal,Rodovia,15.2635,9009,0,0.0,0.24255926814122303,2.075607068309253,101.3167770419426,122.1,1.6673498896247243
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151126113754-26km-D3-DROWSY-MOTORWAY,D3,sonolenta,Rodovia,17.15066666666667,10168,0,0.0,0.26011847361282253,3.527396250877841,91.64200595829196,129.3,1.6435759682224431
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151126124208-16km-D3-NORMAL1-SECONDARY,D3,normal,Via secundaria,11.759666666666668,6991,0,0.0,0.22389152926949168,1.247913070576209,85.4251094890511,97.1,2.155443795620438
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151126125458-16km-D3-NORMAL2-SECONDARY,D3,normal,Via secundaria,11.234833333333333,6684,0,0.0,0.2340610437397358,1.5231909005005946,89.41389728096675,105.9,2.4136450151057405
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151126130707-16km-D3-AGGRESSIVE-SECONDARY,D3,agressiva,Via secundaria,11.3855,6785,0,0.0,0.3073693520264701,1.6810611947154577,87.38843843843844,119.6,2.414936936936937
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151126132013-17km-D3-DROWSY-SECONDARY,D3,sonolenta,Via secundaria,11.105166666666666,6626,0,0.0,0.2524148077682415,3.5508334547667624,91.86384615384615,118.5,2.5982569230769235
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151126134736-26km-D3-AGGRESSIVE-MOTORWAY,D3,agressiva,Rodovia,14.023833333333332,8359,0,0.0,1.3261040791687315,5.57963914163738,110.48746987951807,146.3,1.7937192771084338
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151203171800-16km-D4-NORMAL1-SECONDARY,D4,normal,Via secundaria,12.235999999999999,7291,0,0.0,0.2338123356279301,1.4386392316534478,82.21272727272726,101.4,2.0522727272727272
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151203173103-17km-D4-NORMAL2-SECONDARY,D4,normal,Via secundaria,11.622333333333334,6902,0,0.0,0.24397156975542172,1.3532466354529928,87.54779411764704,102.9,2.6805352941176475
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151203174324-16km-D4-AGGRESSIVE-SECONDARY,D4,agressiva,Via secundaria,11.121500000000001,6619,0,0.0,0.33952607103367427,2.2137195551437703,89.61371610845295,113.6,2.556196172248804
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151203175637-17km-D4-DROWSY-SECONDARY,D4,sonolenta,Via secundaria,11.554666666666668,6871,0,0.0,0.3142486144436928,3.1259687138677155,87.35410557184751,102.8,2.673804985337243
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151204152848-25km-D4-NORMAL-MOTORWAY,D4,normal,Rodovia,16.778666666666666,9958,0,0.0,0.2511792109414716,1.626869737928462,91.69506545820747,120.3,1.242164149043303
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151204154908-25km-D4-AGGRESSIVE-MOTORWAY,D4,agressiva,Rodovia,15.552999999999999,9209,0,0.0,0.3830227970685339,2.9647888825237625,97.97824222936762,130.5,1.7635262593783494
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151204160823-25km-D4-DROWSY-MOTORWAY,D4,sonolenta,Rodovia,17.19516666666667,10174,0,0.0,0.29105231912966406,2.4899043794699147,88.21697560975609,106.5,1.8335931707317072
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151209151242-25km-D5-NORMAL-MOTORWAY,D5,normal,Rodovia,15.448166666666667,9188,0,0.0,0.3499848092526741,4.21436148527811,99.33887079261673,120.9,1.566399565689468
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151209153137-25km-D5-AGGRESSIVE-MOTORWAY,D5,agressiva,Rodovia,13.406166666666667,7959,0,0.0,0.4721087490975053,4.824283763810552,114.42867924528302,147.1,2.1168666666666667
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151211160213-25km-D5-DROWSY-MOTORWAY,D5,sonolenta,Rodovia,18.18866666666667,10819,2,0.10995858226734595,1.9691237685842589,6.054143141324596,83.17983501374884,97.0,1.478918423464711
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151211162829-16km-D5-NORMAL1-SECONDARY,D5,normal,Via secundaria,11.769333333333332,7001,0,0.0,0.1934964427683573,1.374646092486318,84.81982507288629,102.4,2.0796880466472305
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151211164124-17km-D5-NORMAL2-SECONDARY,D5,normal,Via secundaria,11.652,6924,0,0.0,0.20499618698566316,1.876173873422169,87.39692532942898,97.9,2.067196193265007
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151211165606-12km-D5-AGGRESSIVE-SECONDARY,D5,agressiva,Via secundaria,7.1308333333333325,4232,0,0.0,0.3621399478121531,5.6238294861125855,100.58711943793911,147.3,2.485632318501171
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151211170502-16km-D5-DROWSY-SECONDARY,D5,sonolenta,Via secundaria,11.788833333333335,7008,0,0.0,0.23771873488307288,2.6328618069997143,84.2941091954023,100.3,2.1079022988505747
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151217162714-26km-D6-NORMAL-MOTORWAY,D6,normal,Rodovia,17.158166666666666,10177,0,0.0,0.32337499752271953,1.99074995,89.7848336594912,104.7,1.5886320939334642
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151217164730-25km-D6-DROWSY-MOTORWAY,D6,sonolenta,Rodovia,17.830500000000004,10663,0,0.0,0.3763381772779539,2.1399404630790038,84.0076923076923,99.8,1.5265199258572753
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151221112434-17km-D6-NORMAL-SECONDARY,D6,normal,Via secundaria,13.081999999999999,7787,0,0.0,0.28508391645806935,1.6580200339562132,75.63095541401275,90.8,1.8407184713375795
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151221113846-16km-D6-DROWSY-SECONDARY,D6,sonolenta,Via secundaria,12.134833333333335,7196,0,0.0,0.33118847799437656,2.0630590622992795,80.1695054945055,94.4,2.0934615384615385
"UAH-DriveSet (ROMERA; BERGASA; ARROYO, 2016)",20151221120051-26km-D6-AGGRESSIVE-MOTORWAY,D6,agressiva,Rodovia,15.259166666666667,9052,0,0.0,0.5016879170070955,3.034837342756416,101.18109289617487,127.7,1.7635005464480877
